country,year,adaptation_and_nature_solutions,climate_science_and_phenomena,energy_and_technology,extreme_weather_and_impacts,greenhouse_gases_and_emissions,policy_agreements_and_economics,total_sentences,climate_sentences_BERT,climate_sentence_ratio_BERT
ARG,1980,0.0,0.0,0.0,0.0,0.0,0.0,50,0,0.0
ARG,1981,0.0,0.0,0.0,0.0,0.0,0.0,90,5,0.05555555555555555
ARG,1982,0.0,0.0,0.0,0.0,0.0,0.0,93,1,0.010752688172043012
ARG,1983,0.0,0.0,0.0,0.0,0.0,0.0,143,6,0.04195804195804196
ARG,1984,0.0,0.0,0.0,0.0,0.0,0.0,82,1,0.012195121951219513
ARG,1985,0.0,0.0,0.0,0.0,0.0,0.0,93,2,0.021505376344086023
ARG,1986,0.0,0.0,0.0,0.0,0.0,0.0,86,0,0.0
ARG,1987,0.0,0.0,0.0,0.0,0.0,0.0,72,4,0.05555555555555555
ARG,1988,0.0,0.0,0.0,0.0,0.0,0.0,68,1,0.014705882352941176
ARG,1989,0.0,0.0,0.0,0.0,0.0,0.0,127,7,0.05511811023622047
ARG,1990,0.0,0.0,0.0,0.0,0.0,0.0,78,6,0.07692307692307693
ARG,1991,0.0,0.0,0.0,0.0,0.0,0.0,77,9,0.11688311688311688
ARG,1992,0.0,0.0,0.0,0.0,0.0,0.0,154,13,0.08441558441558442
ARG,1993,0.0,0.0,0.0,0.0,0.0,0.0,60,5,0.08333333333333333
ARG,1994,0.0,0.0,0.0,0.0,0.0,0.0,49,1,0.02040816326530612
ARG,1995,0.0,0.0,0.0,0.0,0.0,0.0,41,4,0.0975609756097561
ARG,1996,0.0,0.0,0.0,0.0,0.0,0.0,29,3,0.10344827586206896
ARG,1997,0.0,0.0,0.0,0.0,0.0,0.0,52,2,0.038461538461538464
